Date,Opposition,Competition,Season,Name,Number,Started,SubbedBy,SubTime,YellowCard,RedCard,SubYellow,SubRed
1988-08-27,Scarborough,League,1988,Dave Martindale,4,TRUE,,,,,,
1988-08-29,Stockport County,League Cup,1988,Dave Martindale,4,TRUE,Ken McKenna,,,,,
1988-09-02,Colchester United,League,1988,Dave Martindale,4,TRUE,,,,,,
1988-09-05,Stockport County,League Cup,1988,Dave Martindale,4,TRUE,,,,,,
1988-09-10,Carlisle United,League,1988,Dave Martindale,4,TRUE,,,,,,
1988-09-16,Cambridge United,League,1988,Dave Martindale,4,TRUE,Ken McKenna,,,,,
1988-09-19,Peterborough United,League,1988,Eddie Bishop,4,TRUE,John Smith,,,,,
1988-09-23,Halifax Town,League,1988,Eddie Bishop,4,TRUE,Ken McKenna,,,,,
1988-09-28,Middlesbrough,League Cup,1988,Eddie Bishop,4,TRUE,,,,,,
1988-09-30,Hartlepool United,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-10-04,Grimsby Town,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-10-07,York City,League,1988,Eddie Bishop,4,TRUE,Dave Martindale,,,,,
1988-10-11,Middlesbrough,League Cup,1988,Eddie Bishop,4,TRUE,,,,,,
1988-10-15,Rotherham United,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-10-22,Wrexham,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-10-24,Lincoln City,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-10-29,Torquay United,League,1988,Eddie Bishop,4,TRUE,Dave Martindale,,,,,
1988-11-01,Blackpool,League Cup,1988,Eddie Bishop,4,TRUE,,,,,,
1988-11-04,Rochdale,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-11-07,Hereford United,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-11-12,Crewe Alexandra,League,1988,Eddie Bishop,4,TRUE,,,,,,
1988-11-19,Preston North End,FA Cup,1988,Dave Martindale,4,TRUE,,,,,,
1988-11-22,Preston North End,FA Cup,1988,Dave Martindale,4,TRUE,,,,,,
1988-11-25,Stockport County,League,1988,Dave Martindale,4,TRUE,,,,,,
1988-11-29,Bristol City,League Cup,1988,Dave Martindale,4,TRUE,,,,,,
1988-12-02,Doncaster Rovers,League,1988,Dave Martindale,4,TRUE,,,,,,
1988-12-10,Northwich Victoria,FA Cup,1988,Dave Martindale,4,TRUE,,,,,,
1988-12-16,Darlington,League,1988,Dave Martindale,4,TRUE,,,,,,
1988-12-26,Leyton Orient,League,1988,Dave Martindale,4,TRUE,Eddie Bishop,,,,,
1988-12-31,Scunthorpe United,League,1988,Dave Martindale,4,TRUE,,,,,,
1989-01-02,Burnley,League,1988,Dave Martindale,4,TRUE,,,,,,
1989-01-07,Reading,FA Cup,1988,Dave Martindale,4,TRUE,,,,,,
1989-01-11,Reading,FA Cup,1988,Dave Martindale,4,TRUE,,,,,,
1989-01-13,Colchester United,League,1988,Dave Martindale,4,TRUE,,,,,,
1989-01-21,Scarborough,League,1988,Dave Martindale,4,TRUE,Eddie Bishop,,,,,
1989-01-28,Cambridge United,League,1988,Dave Martindale,4,TRUE,,,,,,
1989-02-04,Peterborough United,League,1988,Dave Martindale,4,TRUE,Eddie Bishop,,,,,
1989-02-10,Halifax Town,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-02-18,York City,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-02-25,Rotherham United,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-03-01,Lincoln City,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-03-03,Wrexham,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-03-11,Rochdale,League,1988,Eddie Bishop,4,TRUE,Dave Martindale,,,,,
1989-03-13,Torquay United,League,1988,Eddie Bishop,4,TRUE,,,,TRUE,,
1989-03-17,Carlisle United,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-03-20,Exeter City,League,1988,Dave Martindale,4,TRUE,Eddie Bishop,,,,,
1989-03-25,Burnley,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-03-27,Leyton Orient,League,1988,Tony Thomas,4,TRUE,,,,,,
1989-04-01,Darlington,League,1988,Tony Thomas,4,TRUE,,,,,,
1989-04-05,Exeter City,League,1988,Tony Thomas,4,TRUE,Dave Martindale,,,,,
1989-04-07,Scunthorpe United,League,1988,Tony Thomas,4,TRUE,,,,,,
1989-04-15,Hartlepool United,League,1988,Dave Martindale,4,TRUE,,,,,,
1989-04-28,Stockport County,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-05-01,Hereford United,League,1988,Eddie Bishop,4,TRUE,Dave Martindale,,,,,
1989-05-06,Doncaster Rovers,League,1988,Eddie Bishop,4,TRUE,,,,,,
1989-05-09,Grimsby Town,League,1988,Dave Martindale,4,TRUE,Eddie Bishop,,,,,
1989-05-13,Crewe Alexandra,League,1988,Dave Martindale,4,TRUE,Eddie Bishop,,,,,