Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot
1992-08-15,Cambridge United,League,1992,John Aldridge,,,,,,,,,
1992-08-15,Cambridge United,League,1992,Chris Malkin,,,,,,,,,
1992-08-19,Blackpool,League Cup,1992,John Aldridge,,,,,,,,,
1992-08-19,Blackpool,League Cup,1992,John Aldridge,,,,,,,,,
1992-08-19,Blackpool,League Cup,1992,Shaun Garnett,,,,,,,,,
1992-08-28,Bristol Rovers,League,1992,Ian Muir,,,,,,,,,
1992-08-28,Bristol Rovers,League,1992,Shaun Garnett,,,,,,,,,
1992-09-05,Luton Town,League,1992,John Aldridge,,,,,,,,,
1992-09-05,Luton Town,League,1992,Pat Nevin,,,,,,,,,
1992-09-05,Luton Town,League,1992,Ian Muir,,,,,,,,,
1992-09-12,Grimsby Town,League,1992,Pat Nevin,,,,,,,,,
1992-09-26,Oxford United,League,1992,John Morrissey,,,,,,,,,
1992-09-26,Oxford United,League,1992,Pat Nevin,,,,,,,,,
1992-09-29,Notts County,League,1992,Ged Brannan,,,,,,,,,
1992-09-29,Notts County,League,1992,Steve Mungall,,,,,,,,,
1992-09-29,Notts County,League,1992,John Aldridge,,,,,,,,,
1992-10-03,Bristol City,League,1992,John Aldridge,,,,,,,,,
1992-10-03,Bristol City,League,1992,John Aldridge,,,,,,,,,
1992-10-03,Bristol City,League,1992,Pat Nevin,,,,,,,,,
1992-10-17,Birmingham City,League,1992,John Aldridge,,,,,,,,,
1992-10-17,Birmingham City,League,1992,John Aldridge,,,,,,,,,
1992-10-17,Birmingham City,League,1992,Kenny Irons,,,,,,,,,
1992-10-17,Birmingham City,League,1992,Steve Mungall,,,,,,,,,
1992-10-24,Watford,League,1992,John Morrissey,,,,,,,,,
1992-10-24,Watford,League,1992,Own Goal,,,,,,,,,
1992-10-30,Peterborough United,League,1992,Chris Malkin,,,,,,,,,
1992-11-03,Southend United,League,1992,John Aldridge,,,,,,,,,
1992-11-03,Southend United,League,1992,John Morrissey,,,,,,,,,
1992-11-03,Southend United,League,1992,Neil McNab,,,,,,,,,
1992-11-07,Leicester City,League,1992,Pat Nevin,,,,,,,,,
1992-11-14,Brentford,League,1992,Kenny Irons,,,,,,,,,
1992-11-14,Brentford,League,1992,Pat Nevin,,,,,,,,,
1992-11-14,Brentford,League,1992,Pat Nevin,,,,,,,,,
1992-11-28,Derby County,League,1992,John Aldridge,,,,,,,,,
1992-11-28,Derby County,League,1992,John Aldridge,,,,,,,,,
1992-12-04,West Ham United,League,1992,John Aldridge,,,,,,,,,
1992-12-04,West Ham United,League,1992,John Aldridge,,,,,,,,,
1992-12-04,West Ham United,League,1992,John Aldridge,,,,,,,,,
1992-12-04,West Ham United,League,1992,Kenny Irons,,,,,,,,,
1992-12-04,West Ham United,League,1992,Chris Malkin,,,,,,,,,
1992-12-19,Wolverhampton Wanderers,League,1992,John Aldridge,,,,,,,,,
1992-12-19,Wolverhampton Wanderers,League,1992,John Aldridge,,,,,,,,,
1992-12-19,Wolverhampton Wanderers,League,1992,John Aldridge,,,,,,,,,
1992-12-26,Millwall,League,1992,John Morrissey,,,,,,,,,
1992-12-28,Barnsley,League,1992,Steve Mungall,,,,,,,,,
1993-01-02,Oldham Athletic,FA Cup,1992,John Aldridge,,,,,,,,,
1993-01-02,Oldham Athletic,FA Cup,1992,Pat Nevin,,,,,,,,,
1993-01-09,Charlton Athletic,League,1992,John Aldridge,,,,,,,,,
1993-01-09,Charlton Athletic,League,1992,Pat Nevin,,,,,,,,,
1993-01-12,Oldham Athletic,FA Cup,1992,Steve Vickers,,,,,,,,,
1993-01-12,Oldham Athletic,FA Cup,1992,John Morrissey,,,,,,,,,
1993-01-12,Oldham Athletic,FA Cup,1992,John Morrissey,,,,,,,,,
1993-01-15,Oxford United,League,1992,John Aldridge,,,,,,,,,
1993-01-15,Oxford United,League,1992,John Aldridge,,,,,,,,,
1993-01-15,Oxford United,League,1992,Dave Higgins,,,,,,,,,
1993-01-15,Oxford United,League,1992,Own Goal,,,,,,,,,
1993-01-23,Ipswich Town,FA Cup,1992,Pat Nevin,,,,,,,,,
1993-01-26,Notts County,League,1992,Dave Higgins,,,,,,,,,
1993-02-06,Cambridge United,League,1992,Neil McNab,,,,,,,,,
1993-03-06,Bristol City,League,1992,Pat Nevin,,,,,,,,,
1993-03-06,Bristol City,League,1992,Chris Malkin,,,,,,,,,
1993-03-06,Bristol City,League,1992,Chris Malkin,,,,,,,,,
1993-03-09,Brentford,League,1992,Pat Nevin,,,,,,,,,
1993-03-13,Leicester City,League,1992,John Morrissey,,,,,,,,,
1993-03-13,Leicester City,League,1992,Chris Malkin,,,,,,,,,
1993-03-26,Southend United,League,1992,Dave Martindale,,,,,,,,,
1993-03-26,Southend United,League,1992,Tommy Coyne,,,,,,,,,
1993-04-02,Derby County,League,1992,Pat Nevin,,,,,,,,,
1993-04-02,Derby County,League,1992,Pat Nevin,,,,,,,,,
1993-04-06,Swindon Town,League,1992,Kenny Irons,,,,,,,,,
1993-04-06,Swindon Town,League,1992,Kenny Irons,,,,,,,,,
1993-04-06,Swindon Town,League,1992,Kenny Irons,,,,,,,,,
1993-04-12,Barnsley,League,1992,Dave Higgins,,,,,,,,,
1993-04-12,Barnsley,League,1992,Kenny Irons,,,,,,,,,
1993-04-17,Wolverhampton Wanderers,League,1992,Dave Higgins,,,,,,,,,
1993-04-17,Wolverhampton Wanderers,League,1992,Mark Proctor,,,,,,,,,
1993-05-16,Swindon Town,Play Offs,1992,John Morrissey,,,,,,,,,
1993-05-19,Swindon Town,Play Offs,1992,Kenny Irons,,,,,,,,,
1993-05-19,Swindon Town,Play Offs,1992,Pat Nevin,,,,,,,,,
1993-05-19,Swindon Town,Play Offs,1992,John Aldridge,,,,,,,,,
